Sample in Buffer,Sample in Window,TRIGGER,design_1_i/encoder_counter_0_counter[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,80
1,1,0,80
2,2,0,80
3,3,0,80
4,4,0,80
5,5,0,80
6,6,0,80
7,7,0,80
8,8,0,80
9,9,0,80
10,10,0,80
11,11,0,80
12,12,0,80
13,13,0,80
14,14,0,80
15,15,0,80
16,16,0,80
17,17,0,80
18,18,0,80
19,19,0,80
20,20,0,80
21,21,0,80
22,22,0,80
23,23,0,80
24,24,0,80
25,25,0,80
26,26,0,80
27,27,0,80
28,28,0,80
29,29,0,80
30,30,0,80
31,31,0,80
32,32,0,80
33,33,0,80
34,34,0,80
35,35,0,80
36,36,0,80
37,37,0,80
38,38,0,80
39,39,0,80
40,40,0,80
41,41,0,80
42,42,0,80
43,43,0,80
44,44,0,80
45,45,0,80
46,46,0,80
47,47,0,80
48,48,0,80
49,49,0,80
50,50,0,80
51,51,0,80
52,52,0,80
53,53,0,80
54,54,0,80
55,55,0,80
56,56,0,80
57,57,0,80
58,58,0,80
59,59,0,80
60,60,0,80
61,61,0,80
62,62,0,80
63,63,0,80
64,64,0,80
65,65,0,80
66,66,0,80
67,67,0,80
68,68,0,80
69,69,0,80
70,70,0,80
71,71,0,80
72,72,0,80
73,73,0,80
74,74,0,80
75,75,0,80
76,76,0,80
77,77,0,80
78,78,0,80
79,79,0,80
80,80,0,80
81,81,0,80
82,82,0,80
83,83,0,80
84,84,0,80
85,85,0,80
86,86,0,80
87,87,0,80
88,88,0,80
89,89,0,80
90,90,0,80
91,91,0,80
92,92,0,80
93,93,0,80
94,94,0,80
95,95,0,80
96,96,0,80
97,97,0,80
98,98,0,80
99,99,0,80
100,100,0,80
101,101,0,80
102,102,0,80
103,103,0,80
104,104,0,80
105,105,0,80
106,106,0,80
107,107,0,80
108,108,0,80
109,109,0,80
110,110,0,80
111,111,0,80
112,112,0,80
113,113,0,80
114,114,0,80
115,115,0,80
116,116,0,80
117,117,0,80
118,118,0,80
119,119,0,80
120,120,0,80
121,121,0,80
122,122,0,80
123,123,0,80
124,124,0,80
125,125,0,80
126,126,0,80
127,127,0,80
128,128,0,80
129,129,0,80
130,130,0,80
131,131,0,80
132,132,0,80
133,133,0,80
134,134,0,80
135,135,0,80
136,136,0,80
137,137,0,80
138,138,0,80
139,139,0,80
140,140,0,80
141,141,0,80
142,142,0,80
143,143,0,80
144,144,0,80
145,145,0,80
146,146,0,80
147,147,0,80
148,148,0,80
149,149,0,80
150,150,0,80
151,151,0,80
152,152,0,80
153,153,0,80
154,154,0,80
155,155,0,80
156,156,0,80
157,157,0,80
158,158,0,80
159,159,0,80
160,160,0,80
161,161,0,80
162,162,0,80
163,163,0,80
164,164,0,80
165,165,0,80
166,166,0,80
167,167,0,80
168,168,0,80
169,169,0,80
170,170,0,80
171,171,0,80
172,172,0,80
173,173,0,80
174,174,0,80
175,175,0,80
176,176,0,80
177,177,0,80
178,178,0,80
179,179,0,80
180,180,0,80
181,181,0,80
182,182,0,80
183,183,0,80
184,184,0,80
185,185,0,80
186,186,0,80
187,187,0,80
188,188,0,80
189,189,0,80
190,190,0,80
191,191,0,80
192,192,0,80
193,193,0,80
194,194,0,80
195,195,0,80
196,196,0,80
197,197,0,80
198,198,0,80
199,199,0,80
200,200,0,80
201,201,0,80
202,202,0,80
203,203,0,80
204,204,0,80
205,205,0,80
206,206,0,80
207,207,0,80
208,208,0,80
209,209,0,80
210,210,0,80
211,211,0,80
212,212,0,80
213,213,0,80
214,214,0,80
215,215,0,80
216,216,0,80
217,217,0,80
218,218,0,80
219,219,0,80
220,220,0,80
221,221,0,80
222,222,0,80
223,223,0,80
224,224,0,80
225,225,0,80
226,226,0,80
227,227,0,80
228,228,0,80
229,229,0,80
230,230,0,80
231,231,0,80
232,232,0,80
233,233,0,80
234,234,0,80
235,235,0,80
236,236,0,80
237,237,0,80
238,238,0,80
239,239,0,80
240,240,0,80
241,241,0,80
242,242,0,80
243,243,0,80
244,244,0,80
245,245,0,80
246,246,0,80
247,247,0,80
248,248,0,80
249,249,0,80
250,250,0,80
251,251,0,80
252,252,0,80
253,253,0,80
254,254,0,80
255,255,0,80
256,256,0,80
257,257,0,80
258,258,0,80
259,259,0,80
260,260,0,80
261,261,0,80
262,262,0,80
263,263,0,80
264,264,0,80
265,265,0,80
266,266,0,80
267,267,0,80
268,268,0,80
269,269,0,80
270,270,0,80
271,271,0,80
272,272,0,80
273,273,0,80
274,274,0,80
275,275,0,80
276,276,0,80
277,277,0,80
278,278,0,80
279,279,0,80
280,280,0,80
281,281,0,80
282,282,0,80
283,283,0,80
284,284,0,80
285,285,0,80
286,286,0,80
287,287,0,80
288,288,0,80
289,289,0,80
290,290,0,80
291,291,0,80
292,292,0,80
293,293,0,80
294,294,0,80
295,295,0,80
296,296,0,80
297,297,0,80
298,298,0,80
299,299,0,80
300,300,0,80
301,301,0,80
302,302,0,80
303,303,0,80
304,304,0,80
305,305,0,80
306,306,0,80
307,307,0,80
308,308,0,80
309,309,0,80
310,310,0,80
311,311,0,80
312,312,0,80
313,313,0,80
314,314,0,80
315,315,0,80
316,316,0,80
317,317,0,80
318,318,0,80
319,319,0,80
320,320,0,80
321,321,0,80
322,322,0,80
323,323,0,80
324,324,0,80
325,325,0,80
326,326,0,80
327,327,0,80
328,328,0,80
329,329,0,80
330,330,0,80
331,331,0,80
332,332,0,80
333,333,0,80
334,334,0,80
335,335,0,80
336,336,0,80
337,337,0,80
338,338,0,80
339,339,0,80
340,340,0,80
341,341,0,80
342,342,0,80
343,343,0,80
344,344,0,80
345,345,0,80
346,346,0,80
347,347,0,80
348,348,0,80
349,349,0,80
350,350,0,80
351,351,0,80
352,352,0,80
353,353,0,80
354,354,0,80
355,355,0,80
356,356,0,80
357,357,0,80
358,358,0,80
359,359,0,80
360,360,0,80
361,361,0,80
362,362,0,80
363,363,0,80
364,364,0,80
365,365,0,80
366,366,0,80
367,367,0,80
368,368,0,80
